absolute_community,absolute_unigram_topic,absolute_unigram_keywords,weighted_community,weighted_unigram_topic,weighted_unigram_keywords,absolute_bigram_topic,absolute_bigram_keywords,weighted_bigram_topic,weighted_bigram_keywords,members,all_keywords,absolute_keywords,weighted_keywords,general_theme_gpt,general_theme_names,absolute_theme_gpt,absolute_theme_names,weighted_theme_gpt,weighted_theme_names
45,3,"['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration']",40,0,"['ban', 'trump', 'muslimban', 'muslim', 'nobannowall', 'travel', 'refugee']",7,"['ban', 'travel', 'trump', 'executive_order', 'order', 'radio_live', 'revise', 'judge', 'federal_judge', 'hawaii', 'trumps', 'stock_money', 'block', 'president', 'immigration']",0,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'block', 'immigration', 'sign']","[16012783, 118245138, 3380966237]","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,executive_order,radio_live,federal_judge,stock_money,muslimban,muslim,nobannowall,refugee,sign","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,executive_order,radio_live,federal_judge,stock_money","ban,trump,muslimban,muslim,nobannowall,travel,refugee,executive_order,order,judge,revise,federal_judge,hawaii,president,trumps,block,immigration,sign","{'US Immigration Policy': 'ban, travel, trump, order, revise, judge, trumps, hawaii, president, block, immigration, executive_order, federal_judge, muslimban, muslim, nobannowall, refugee, sign'}",US Immigration Policy,"{'US Immigration Policy': ['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration', 'executive_order', 'federal_judge'], 'Media and Finance': ['radio_live', 'stock_money']}",US Immigration Policy.Media and Finance,"{'US Immigration Policy Controversy': ['ban', 'trump', 'muslimban', 'muslim', 'nobannowall', 'travel', 'refugee', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'block', 'immigration', 'sign']}",US Immigration Policy Controversy
46,3,"['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration']",41,14,"['ban', 'travel', 'trump', 'revise', 'order', 'judge', 'president', 'hawaii', 'trumps', 'block']",7,"['ban', 'travel', 'trump', 'executive_order', 'order', 'radio_live', 'revise', 'judge', 'federal_judge', 'hawaii', 'trumps', 'stock_money', 'block', 'president', 'immigration']",0,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'block', 'immigration', 'sign']","[171632862, 299097281, 797097069781667840]","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,executive_order,radio_live,federal_judge,stock_money,sign","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,executive_order,radio_live,federal_judge,stock_money","ban,travel,trump,revise,order,judge,president,hawaii,trumps,block,executive_order,federal_judge,immigration,sign","{'US Immigration Policy': ['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration', 'executive_order', 'federal_judge', 'sign']}",US Immigration Policy,"{'US Immigration Policy': ['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration', 'executive_order', 'federal_judge'], 'Media and Finance': ['radio_live', 'stock_money']}",US Immigration Policy.Media and Finance,"{'Travel Ban': 'ban, travel, trump, revise, order, judge, president, hawaii, trumps, block, executive_order, federal_judge, immigration, sign'}",Travel Ban
47,3,"['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration']",43,14,"['ban', 'travel', 'trump', 'revise', 'order', 'judge', 'president', 'hawaii', 'trumps', 'block']",7,"['ban', 'travel', 'trump', 'executive_order', 'order', 'radio_live', 'revise', 'judge', 'federal_judge', 'hawaii', 'trumps', 'stock_money', 'block', 'president', 'immigration']",0,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'block', 'immigration', 'sign']","[863001163, 870872898, 870876488, 870881976, 870882342, 870886394, 870886453, 870892134, 870903090, 870906686, 870907736, 896433678, 915468734, 915722492, 915807342, 915812143, 916004004, 916051280, 916342638, 916490078, 929528022, 951795330, 951798776, 953096516, 1092968340, 1094795100, 784263169996836900]","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,executive_order,radio_live,federal_judge,stock_money,sign","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,executive_order,radio_live,federal_judge,stock_money","ban,travel,trump,revise,order,judge,president,hawaii,trumps,block,executive_order,federal_judge,immigration,sign","{'US Immigration Policy': ['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration', 'executive_order', 'federal_judge', 'sign']}",US Immigration Policy,"{'US Immigration Policy': ['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration', 'executive_order', 'federal_judge'], 'Media and Finance': ['radio_live', 'stock_money']}",US Immigration Policy.Media and Finance,"{'Travel Ban': 'ban, travel, trump, revise, order, judge, president, hawaii, trumps, block, executive_order, federal_judge, immigration, sign'}",Travel Ban
48,3,"['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration']",44,14,"['ban', 'travel', 'trump', 'revise', 'order', 'judge', 'president', 'hawaii', 'trumps', 'block']",7,"['ban', 'travel', 'trump', 'executive_order', 'order', 'radio_live', 'revise', 'judge', 'federal_judge', 'hawaii', 'trumps', 'stock_money', 'block', 'president', 'immigration']",0,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'block', 'immigration', 'sign']","[234141596, 423587395, 2483809903]","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,executive_order,radio_live,federal_judge,stock_money,sign","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,executive_order,radio_live,federal_judge,stock_money","ban,travel,trump,revise,order,judge,president,hawaii,trumps,block,executive_order,federal_judge,immigration,sign","{'US Immigration Policy': ['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration', 'executive_order', 'federal_judge', 'sign']}",US Immigration Policy,"{'US Immigration Policy': ['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration', 'executive_order', 'federal_judge'], 'Media and Finance': ['radio_live', 'stock_money']}",US Immigration Policy.Media and Finance,"{'Travel Ban': 'ban, travel, trump, revise, order, judge, president, hawaii, trumps, block, executive_order, federal_judge, immigration, sign'}",Travel Ban
49,0,"['muslimban', 'muslim', 'country', 'islam', 'refugee']",45,2,"['muslimban', 'muslim', 'country', 'ban', 'trump', 'muslims', 'islam', 'america', 'terrorist', 'travel']",9,"['muslimban', 'ban', 'muslim', 'trump', 'president']",12,"['muslimban', 'ban', 'muslim', 'nobannowall', 'trump', 'travelban', 'travel', 'judge_robart', 'executive_order', 'judge']","[80350908, 120995738, 962383824, 2155847459, 3082370998, 809457976817881088]","muslimban,muslim,country,islam,refugee,ban,trump,president,muslims,america,terrorist,travel,nobannowall,travelban,judge_robart,executive_order,judge","muslimban,muslim,country,islam,refugee,ban,trump,president","muslimban,muslim,country,ban,trump,muslims,islam,america,terrorist,travel,nobannowall,travelban,judge_robart,executive_order,judge","{'US Travel Ban on Muslim-majority Countries': 'muslimban, muslim, country, islam, refugee, ban, trump, president, muslims, america, terrorist, travel, nobannowall, travelban, judge_robart, executive_order, judge'}",US Travel Ban on Muslim-majority Countries,"{'US Immigration Policy': 'muslimban, muslim, country, islam, refugee, ban, trump, president'}",US Immigration Policy,"{'US Travel Ban on Muslim-majority Countries': 'muslimban, muslim, country, ban, trump, muslims, islam, america, travel, travelban, executive_order', 'Legal Challenges to the Travel Ban': 'judge_robart, judge, nobannowall', 'National Security and Terrorism Concerns': 'terrorist'}",US Travel Ban on Muslim-majority Countries.Legal Challenges to the Travel Ban.National Security and Terrorism Concerns
50,11,"['nobannowall', 'muslimban', 'bigotry', 'noban', 'riseup', 'remember', 'immigration', 'immigrant', 'stand']",47,13,"['muslimban', 'trump', 'resist', 'trumprussia', 'ban', 'russiagate', 'theresistance', 'muslim', 'travel', 'break', 'trumps', 'april']",9,"['muslimban', 'ban', 'muslim', 'trump', 'president']",10,"['muslimban', 'trump', 'trumprussia', 'resist', 'ban', 'russiagate', 'theresistance', 'muslim', 'travel', 'april_speech', 'break', 'trumps', 'todays_hashtag', 'april']","[18020589, 21906070, 341815160, 2194368678]","nobannowall,muslimban,bigotry,noban,riseup,remember,immigration,immigrant,stand,ban,muslim,trump,president,resist,trumprussia,russiagate,theresistance,travel,break,trumps,april,april_speech,todays_hashtag","nobannowall,muslimban,bigotry,noban,riseup,remember,immigration,immigrant,stand,ban,muslim,trump,president","muslimban,trump,resist,trumprussia,ban,russiagate,theresistance,muslim,travel,break,trumps,april,april_speech,todays_hashtag","{'Immigration and Resistance': ['nobannowall', 'muslimban', 'bigotry', 'noban', 'riseup', 'remember', 'immigration', 'immigrant', 'stand', 'ban', 'muslim', 'trump', 'president', 'resist', 'theresistance', 'travel', 'break', 'trumps', 'april', 'april_speech', 'todays_hashtag'], 'Trump and Russia Investigation': ['trumprussia', 'russiagate']}",Immigration and Resistance.Trump and Russia Investigation,"{'Immigration and Anti-Discrimination Protests': 'nobannowall, muslimban, bigotry, noban, riseup, remember, immigration, immigrant, stand, ban, muslim, trump, president'}",Immigration and Anti-Discrimination Protests,"{'Political Resistance': ['resist', 'theresistance', 'todays_hashtag'], 'Trump Administration Controversies': ['trump', 'trumprussia', 'russiagate', 'trumps', 'april_speech'], 'Travel and Immigration Policies': ['muslimban', 'ban', 'muslim', 'travel', 'break']}",Political Resistance.Trump Administration Controversies.Travel and Immigration Policies
52,3,"['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration']",50,14,"['ban', 'travel', 'trump', 'revise', 'order', 'judge', 'president', 'hawaii', 'trumps', 'block']",7,"['ban', 'travel', 'trump', 'executive_order', 'order', 'radio_live', 'revise', 'judge', 'federal_judge', 'hawaii', 'trumps', 'stock_money', 'block', 'president', 'immigration']",0,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'block', 'immigration', 'sign']","[16387036, 31127446, 2181188602, 4922951833]","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,executive_order,radio_live,federal_judge,stock_money,sign","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,executive_order,radio_live,federal_judge,stock_money","ban,travel,trump,revise,order,judge,president,hawaii,trumps,block,executive_order,federal_judge,immigration,sign","{'US Immigration Policy': ['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration', 'executive_order', 'federal_judge', 'sign']}",US Immigration Policy,"{'US Immigration Policy': ['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration', 'executive_order', 'federal_judge'], 'Media and Finance': ['radio_live', 'stock_money']}",US Immigration Policy.Media and Finance,"{'Travel Ban': 'ban, travel, trump, revise, order, judge, president, hawaii, trumps, block, executive_order, federal_judge, immigration, sign'}",Travel Ban
54,5,"['maga', 'travelban', 'trump', 'lgbt', 'islam', 'muslimban', 'tcot', 'marinelepen', 'judge', 'vote', 'read', 'france', 'americafirst']",54,0,"['ban', 'trump', 'muslimban', 'muslim', 'nobannowall', 'travel', 'refugee']",8,"['travelban', 'refugeeswelcome', 'maga', 'refugee', 'muslimban', 'islam', 'trump', 'enter_country', 'pvv', 'country', 'tcot', 'stopislamofobia', 'bordersclose']",12,"['muslimban', 'ban', 'muslim', 'nobannowall', 'trump', 'travelban', 'travel', 'judge_robart', 'executive_order', 'judge']","[475056290, 1453418317, 758497054419259393]","maga,travelban,trump,lgbt,islam,muslimban,tcot,marinelepen,judge,vote,read,france,americafirst,refugeeswelcome,refugee,enter_country,pvv,country,stopislamofobia,bordersclose,ban,muslim,nobannowall,travel,judge_robart,executive_order","maga,travelban,trump,lgbt,islam,muslimban,tcot,marinelepen,judge,vote,read,france,americafirst,refugeeswelcome,refugee,enter_country,pvv,country,stopislamofobia,bordersclose","ban,trump,muslimban,muslim,nobannowall,travel,refugee,travelban,judge_robart,executive_order,judge","{'US Politics and Immigration Policies': ['maga', 'travelban', 'trump', 'muslimban', 'americafirst', 'refugeeswelcome', 'refugee', 'enter_country', 'bordersclose', 'ban', 'nobannowall', 'travel', 'executive_order'], 'LGBT and Islam': ['lgbt', 'islam', 'stopislamofobia', 'muslim'], 'International Politics and Leaders': ['marinelepen', 'france', 'pvv'], 'Judicial Actions and Decisions': ['judge', 'judge_robart', 'vote', 'read', 'tcot']}",US Politics and Immigration Policies.LGBT and Islam.International Politics and Leaders.Judicial Actions and Decisions,"{'US Politics and Immigration': ['maga', 'travelban', 'trump', 'muslimban', 'americafirst', 'refugeeswelcome', 'refugee', 'enter_country', 'bordersclose'], 'LGBT and Islam': ['lgbt', 'islam', 'stopislamofobia'], 'European Politics': ['marinelepen', 'france', 'pvv'], 'Judiciary and Voting': ['judge', 'vote'], 'Conservative Online Community': ['tcot', 'country', 'read']}",US Politics and Immigration.LGBT and Islam.European Politics.Judiciary and Voting.Conservative Online Community,"{'US Travel Ban Controversy': ['ban', 'trump', 'muslimban', 'muslim', 'nobannowall', 'travel', 'refugee', 'travelban', 'judge_robart', 'executive_order', 'judge']}",US Travel Ban Controversy
55,13,"['muslimban', 'pvv', 'bordersclose', 'geertwilders', 'stempvv', 'nexit', 'attention', 'mega', 'bluehand', 'prevail', 'afd', 'stopislam', 'survive']",55,8,"['uslatino', 'tntweeter', 'uniteblue', 'niunomas', 'latism', 'inmigracion', 'humanright', 'fight', 'travelban', 'islamistheproblem', 'extremist', 'religion']",13,"['muslimban', 'muslim', 'country', 'ben_carson', 'islam']",2,"['travelban', 'maga', 'refugee', 'tcot', 'muslimban', 'islam', 'americafirst']","[1027972254, 2980186012, 812528552188854273, 845488340686139392, 845488340686139400]","muslimban,pvv,bordersclose,geertwilders,stempvv,nexit,attention,mega,bluehand,prevail,afd,stopislam,survive,muslim,country,ben_carson,islam,uslatino,tntweeter,uniteblue,niunomas,latism,inmigracion,humanright,fight,travelban,islamistheproblem,extremist,religion,maga,refugee,tcot,americafirst","muslimban,pvv,bordersclose,geertwilders,stempvv,nexit,attention,mega,bluehand,prevail,afd,stopislam,survive,muslim,country,ben_carson,islam","uslatino,tntweeter,uniteblue,niunomas,latism,inmigracion,humanright,fight,travelban,islamistheproblem,extremist,religion,maga,refugee,tcot,muslimban,islam,americafirst","{'Anti-Islam Sentiment': ['muslimban', 'stopislam', 'islamistheproblem', 'extremist', 'islam', 'muslim'], 'Right-Wing Populism and Nationalism': ['pvv', 'geertwilders', 'stempvv', 'nexit', 'afd', 'maga', 'americafirst', 'bordersclose'], 'Immigration and Refugee Issues': ['refugee', 'travelban', 'inmigracion', 'humanright'], 'Political Figures and Movements': ['ben_carson', 'geertwilders', 'pvv'], 'Social Media and Activism': ['attention', 'mega', 'bluehand', 'prevail', 'survive', 'tntweeter', 'uniteblue', 'niunomas', 'latism', 'tcot']}",Anti-Islam Sentiment.Right-Wing Populism and Nationalism.Immigration and Refugee Issues.Political Figures and Movements.Social Media and Activism,"{'Anti-Islam Sentiment and Political Movements': ['muslimban', 'pvv', 'bordersclose', 'geertwilders', 'stempvv', 'nexit', 'attention', 'mega', 'bluehand', 'prevail', 'afd', 'stopislam', 'survive', 'muslim', 'country', 'ben_carson', 'islam']}",Anti-Islam Sentiment and Political Movements,"{'Latino and Immigration Advocacy': ['uslatino', 'latism', 'inmigracion', 'humanright', 'niunomas'], 'Political and Social Media Movements': ['tntweeter', 'uniteblue'], 'Anti-Islam Sentiment and Policies': ['travelban', 'islamistheproblem', 'extremist', 'religion', 'maga', 'refugee', 'tcot', 'muslimban', 'islam', 'americafirst', 'fight']}",Latino and Immigration Advocacy.Political and Social Media Movements.Anti-Islam Sentiment and Policies
56,3,"['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration']",56,14,"['ban', 'travel', 'trump', 'revise', 'order', 'judge', 'president', 'hawaii', 'trumps', 'block']",7,"['ban', 'travel', 'trump', 'executive_order', 'order', 'radio_live', 'revise', 'judge', 'federal_judge', 'hawaii', 'trumps', 'stock_money', 'block', 'president', 'immigration']",0,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'block', 'immigration', 'sign']","[14671170, 306269725, 610200550]","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,executive_order,radio_live,federal_judge,stock_money,sign","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,executive_order,radio_live,federal_judge,stock_money","ban,travel,trump,revise,order,judge,president,hawaii,trumps,block,executive_order,federal_judge,immigration,sign","{'US Immigration Policy': ['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration', 'executive_order', 'federal_judge', 'sign']}",US Immigration Policy,"{'US Immigration Policy': ['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration', 'executive_order', 'federal_judge'], 'Media and Finance': ['radio_live', 'stock_money']}",US Immigration Policy.Media and Finance,"{'Travel Ban': 'ban, travel, trump, revise, order, judge, president, hawaii, trumps, block, executive_order, federal_judge, immigration, sign'}",Travel Ban
57,3,"['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration']",58,14,"['ban', 'travel', 'trump', 'revise', 'order', 'judge', 'president', 'hawaii', 'trumps', 'block']",7,"['ban', 'travel', 'trump', 'executive_order', 'order', 'radio_live', 'revise', 'judge', 'federal_judge', 'hawaii', 'trumps', 'stock_money', 'block', 'president', 'immigration']",0,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'block', 'immigration', 'sign']","[3518486666, 3949851501, 734168909553766405]","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,executive_order,radio_live,federal_judge,stock_money,sign","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,executive_order,radio_live,federal_judge,stock_money","ban,travel,trump,revise,order,judge,president,hawaii,trumps,block,executive_order,federal_judge,immigration,sign","{'Theme: US Immigration Policy and Legal Challenges': 'ban, travel, trump, order, revise, judge, trumps, hawaii, president, block, immigration, executive_order, federal_judge, sign'}",Theme: US Immigration Policy and Legal Challenges,"{'US Immigration Policy': ['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration', 'executive_order', 'federal_judge'], 'Media and Finance': ['radio_live', 'stock_money']}",US Immigration Policy.Media and Finance,"{'Travel Ban': 'ban, travel, trump, revise, order, judge, president, hawaii, trumps, block, executive_order, federal_judge, immigration, sign'}",Travel Ban
58,2,"['ban', 'muslim', 'muslimban', 'trump', 'court']",59,0,"['ban', 'trump', 'muslimban', 'muslim', 'nobannowall', 'travel', 'refugee']",9,"['muslimban', 'ban', 'muslim', 'trump', 'president']",12,"['muslimban', 'ban', 'muslim', 'nobannowall', 'trump', 'travelban', 'travel', 'judge_robart', 'executive_order', 'judge']","[19217369, 19222164, 35150454, 1150914516]","ban,muslim,muslimban,trump,court,president,nobannowall,travel,refugee,travelban,judge_robart,executive_order,judge","ban,muslim,muslimban,trump,court,president","ban,trump,muslimban,muslim,nobannowall,travel,refugee,travelban,judge_robart,executive_order,judge","{'US Travel Ban Controversy': 'ban, muslim, muslimban, trump, court, president, nobannowall, travel, refugee, travelban, judge_robart, executive_order, judge'}",US Travel Ban Controversy,"{'Travel Ban Controversy': 'ban, muslim, muslimban, trump, court, president'}",Travel Ban Controversy,"{'US Travel Ban Controversy': ['ban', 'trump', 'muslimban', 'muslim', 'nobannowall', 'travel', 'refugee', 'travelban', 'judge_robart', 'executive_order', 'judge']}",US Travel Ban Controversy
59,3,"['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration']",60,0,"['ban', 'trump', 'muslimban', 'muslim', 'nobannowall', 'travel', 'refugee']",7,"['ban', 'travel', 'trump', 'executive_order', 'order', 'radio_live', 'revise', 'judge', 'federal_judge', 'hawaii', 'trumps', 'stock_money', 'block', 'president', 'immigration']",0,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'block', 'immigration', 'sign']","[25281508, 309680827, 1267982563, 1459232030]","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,executive_order,radio_live,federal_judge,stock_money,muslimban,muslim,nobannowall,refugee,sign","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,executive_order,radio_live,federal_judge,stock_money","ban,trump,muslimban,muslim,nobannowall,travel,refugee,executive_order,order,judge,revise,federal_judge,hawaii,president,trumps,block,immigration,sign","{'US Immigration Policy': 'ban, travel, trump, order, revise, judge, trumps, hawaii, president, block, immigration, executive_order, federal_judge, muslimban, muslim, nobannowall, refugee, sign', 'Legal and Judicial Actions': 'judge, block, federal_judge', 'Political Protests and Movements': 'nobannowall, muslimban', 'Media and Communication': 'radio_live', 'Economy and Finance': 'stock_money'}",US Immigration Policy.Legal and Judicial Actions.Political Protests and Movements.Media and Communication.Economy and Finance,"{'US Immigration Policy': ['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration', 'executive_order', 'federal_judge'], 'Media and Finance': ['radio_live', 'stock_money']}",US Immigration Policy.Media and Finance,"{'US Immigration Policy Controversy': ['ban', 'trump', 'muslimban', 'muslim', 'nobannowall', 'travel', 'refugee', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'block', 'immigration', 'sign']}",US Immigration Policy Controversy
60,5,"['maga', 'travelban', 'trump', 'lgbt', 'islam', 'muslimban', 'tcot', 'marinelepen', 'judge', 'vote', 'read', 'france', 'americafirst']",61,4,"['travelban', 'maga', 'refugee', 'immigration', 'judge', 'tcot', 'immigrant', 'islam', 'america']",9,"['muslimban', 'ban', 'muslim', 'trump', 'president']",12,"['muslimban', 'ban', 'muslim', 'nobannowall', 'trump', 'travelban', 'travel', 'judge_robart', 'executive_order', 'judge']","[262132296, 2581758266, 775420500034158592]","maga,travelban,trump,lgbt,islam,muslimban,tcot,marinelepen,judge,vote,read,france,americafirst,ban,muslim,president,refugee,immigration,immigrant,america,nobannowall,travel,judge_robart,executive_order","maga,travelban,trump,lgbt,islam,muslimban,tcot,marinelepen,judge,vote,read,france,americafirst,ban,muslim,president","travelban,maga,refugee,immigration,judge,tcot,immigrant,islam,america,muslimban,ban,muslim,nobannowall,trump,travel,judge_robart,executive_order","{'US Immigration Policy': ['travelban', 'muslimban', 'ban', 'refugee', 'immigration', 'immigrant', 'nobannowall', 'executive_order'], 'US Politics': ['maga', 'trump', 'americafirst', 'president', 'vote', 'america'], 'Judicial Actions': ['judge', 'judge_robart'], 'LGBT and Islam': ['lgbt', 'islam', 'muslim'], 'International Politics': ['marinelepen', 'france'], 'Social Media and News': ['tcot', 'read', 'travel']}",US Immigration Policy.US Politics.Judicial Actions.LGBT and Islam.International Politics.Social Media and News,"{'US Politics and Policies': ['maga', 'trump', 'americafirst', 'president', 'vote'], 'Controversial Immigration Policies': ['travelban', 'muslimban', 'ban', 'islam', 'muslim'], 'LGBT and Social Issues': ['lgbt'], 'International Politics': ['marinelepen', 'france'], 'Judiciary and Legal Matters': ['judge'], 'Conservative Online Community': ['tcot']}",US Politics and Policies.Controversial Immigration Policies.LGBT and Social Issues.International Politics.Judiciary and Legal Matters.Conservative Online Community,"{'US Immigration Policy': ['travelban', 'refugee', 'immigration', 'immigrant', 'muslimban', 'ban', 'nobannowall', 'executive_order'], 'Political and Judicial Response': ['maga', 'judge', 'tcot', 'judge_robart', 'trump'], 'Religious and Cultural Impact': ['islam', 'muslim', 'america', 'muslimban']}",US Immigration Policy.Political and Judicial Response.Religious and Cultural Impact
61,2,"['ban', 'muslim', 'muslimban', 'trump', 'court']",62,2,"['muslimban', 'muslim', 'country', 'ban', 'trump', 'muslims', 'islam', 'america', 'terrorist', 'travel']",9,"['muslimban', 'ban', 'muslim', 'trump', 'president']",0,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'block', 'immigration', 'sign']","[1300838640, 715496304777015300, 724732525323665408]","ban,muslim,muslimban,trump,court,president,country,muslims,islam,america,terrorist,travel,executive_order,order,judge,revise,federal_judge,hawaii,trumps,block,immigration,sign","ban,muslim,muslimban,trump,court,president","muslimban,muslim,country,ban,trump,muslims,islam,america,terrorist,travel,executive_order,order,judge,revise,federal_judge,hawaii,president,trumps,block,immigration,sign","{'Travel Ban Controversy': 'ban, muslim, muslimban, trump, court, president, country, muslims, islam, america, terrorist, travel, executive_order, order, judge, revise, federal_judge, hawaii, trumps, block, immigration, sign'}",Travel Ban Controversy,"{'Travel Ban Controversy': 'ban, muslim, muslimban, trump, court, president'}",Travel Ban Controversy,"{'US Immigration Policy': 'muslimban, ban, trump, executive_order, order, immigration, sign', 'Legal Challenges to Executive Orders': 'judge, federal_judge, block, revise, hawaii', 'Impact on Muslim Community': 'muslim, muslims, islam, america, terrorist, travel, country, president, trumps'}",US Immigration Policy.Legal Challenges to Executive Orders.Impact on Muslim Community
62,2,"['ban', 'muslim', 'muslimban', 'trump', 'court']",63,0,"['ban', 'trump', 'muslimban', 'muslim', 'nobannowall', 'travel', 'refugee']",9,"['muslimban', 'ban', 'muslim', 'trump', 'president']",12,"['muslimban', 'ban', 'muslim', 'nobannowall', 'trump', 'travelban', 'travel', 'judge_robart', 'executive_order', 'judge']","[363480365, 3609854716, 837861075219582977]","ban,muslim,muslimban,trump,court,president,nobannowall,travel,refugee,travelban,judge_robart,executive_order,judge","ban,muslim,muslimban,trump,court,president","ban,trump,muslimban,muslim,nobannowall,travel,refugee,travelban,judge_robart,executive_order,judge","{'US Travel Ban Controversy': ['ban', 'muslim', 'muslimban', 'trump', 'court', 'president', 'nobannowall', 'travel', 'refugee', 'travelban', 'judge_robart', 'executive_order', 'judge']}",US Travel Ban Controversy,"{'Travel Ban Controversy': 'ban, muslim, muslimban, trump, court, president'}",Travel Ban Controversy,"{'US Travel Ban Controversy': ['ban', 'trump', 'muslimban', 'muslim', 'nobannowall', 'travel', 'refugee', 'travelban', 'judge_robart', 'executive_order', 'judge']}",US Travel Ban Controversy
